national_olympic_team,national_iso3,national_noc,participated_olympic_game,year,season,host_country,host_iso3,is_host_country_team,total_number_of_athletes,number_of_male_athletes,number_of_female_athletes,proportion_male_athletes,proportion_female_athletes,score_total,score_female,score_male,score_total_raw,score_female_raw,score_male_raw,game_total_score_raw
Serbia and Montenegro,,SCG,2000 Summer Olympics,2000,Summer,Australia,AUS,False,110,93,17,0.8454545454545455,0.15454545454545454,0.005063652239668038,0.0016839152560535295,0.0033797369836145084,8.269444444444444,2.75,5.519444444444444,1633.0988095238095
Aruba,ABW,ARU,2000 Summer Olympics,2000,Summer,Australia,AUS,False,5,3,2,0.6,0.4,0.0003401849002128343,0.0001360739600851337,0.00020411094012770054,0.5555555555555556,0.2222222222222222,0.3333333333333333,1633.0988095238095
Angola,AGO,ANG,2000 Summer Olympics,2000,Summer,Australia,AUS,False,31,15,16,0.4838709677419355,0.5161290322580645,0.0004762588602979679,0.00020411094012770054,0.0002721479201702674,0.7777777777777777,0.3333333333333333,0.4444444444444444,1633.0988095238095
Albania,ALB,ALB,2000 Summer Olympics,2000,Summer,Australia,AUS,False,4,2,2,0.5,0.5,0.0003946144842468877,0.00020411094012770054,0.0001905035441191872,0.6444444444444444,0.3333333333333333,0.3111111111111111,1633.0988095238095
Andorra,AND,AND,2000 Summer Olympics,2000,Summer,Australia,AUS,False,5,3,2,0.6,0.4,0.0003401849002128343,0.0001360739600851337,0.00020411094012770054,0.5555555555555556,0.2222222222222222,0.3333333333333333,1633.0988095238095
Netherlands Antilles,ANT,AHO,2000 Summer Olympics,2000,Summer,Australia,AUS,False,8,6,2,0.75,0.25,0.0006123328203831017,0.0001360739600851337,0.0004762588602979679,1.0,0.2222222222222222,0.7777777777777777,1633.0988095238095
United Arab Emirates,ARE,UAE,2000 Summer Olympics,2000,Summer,Australia,AUS,False,4,4,0,1.0,0.0,0.0003401849002128343,0.0,0.0003401849002128343,0.5555555555555556,0.0,0.5555555555555556,1633.0988095238095
Argentina,ARG,ARG,2000 Summer Olympics,2000,Summer,Australia,AUS,False,143,98,45,0.6853146853146853,0.3146853146853147,0.00811316688086166,0.0026959653341867115,0.0054172015466749475,13.249603174603173,4.402777777777778,8.846825396825396,1633.0988095238095
Armenia,ARM,ARM,2000 Summer Olympics,2000,Summer,Australia,AUS,False,25,23,2,0.92,0.08,0.0021558003104916183,0.0001360739600851337,0.0020197263504064845,3.5206349206349206,0.2222222222222222,3.2984126984126982,1633.0988095238095
American Samoa,ASM,ASA,2000 Summer Olympics,2000,Summer,Australia,AUS,False,4,3,1,0.75,0.25,0.0002721479201702674,6.803698004256685e-05,0.00020411094012770054,0.4444444444444444,0.1111111111111111,0.3333333333333333,1633.0988095238095
Antigua and Barbuda,ATG,ANT,2000 Summer Olympics,2000,Summer,Australia,AUS,False,3,2,1,0.6666666666666666,0.3333333333333333,0.0002721479201702674,0.0001360739600851337,0.0001360739600851337,0.4444444444444444,0.2222222222222222,0.2222222222222222,1633.0988095238095
Australia,AUS,AUS,2000 Summer Olympics,2000,Summer,Australia,AUS,True,632,349,283,0.5522151898734177,0.4477848101265823,0.05186337494037652,0.023961409424919856,0.027901965515456664,84.69801587301588,39.131349206349206,45.56666666666666,1633.0988095238095
Austria,AUT,AUT,2000 Summer Olympics,2000,Summer,Australia,AUS,False,92,55,37,0.5978260869565217,0.40217391304347827,0.00779606595602041,0.002365014024122511,0.005431051931897898,12.731746031746031,3.8623015873015873,8.869444444444444,1633.0988095238095
